number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-722224,"ОАО ""Слуцкий сахарорафинадный комбинат""","Закупка соды кальцинированной технической марки А либо Б, упаковка только в специализированный контейнер (БИГ-БЭГ) массой нетто 0,5-1 т.",1 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722224,,
2019-722222,"Государственное учреждение ""Витебский областной центр гигиены, эпидемиологии и общественного здоровья""","Замена дверных блоков в лабораторном корпусе по ул. Жесткова, 25/1",19 000,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722222,,
2019-722220,"ОАО ""БЕЛСЕЛЬЭЛЕКТРОСЕТЬСТРОЙ""",закупка термоэластопласта полиэфирного модифицированного,33 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722220,,
2019-722219,Могилёвское областное кадетское училище,"закупка школьной мебели для государственного учреждения образования ""Могилевское областное кадетское училище""",4 948,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722219,,
2019-722218,Управление по образованию Барановичского горисполкома,Закупка эмали для учреждений управления по образованию,7 400,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722218,,
2019-722216,Смолевичская райветстанция,бланки ветеринарных свидетельств и бланки ветеринарных сертификатов,9 204,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722216,,
2019-722215,Брестский ОПТД,продукты питания,14 443.65,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722215,,
2019-722212,"ОАО ""Берестовицкая птицефабрика""",Закупка упаковочных материалов,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/722212,,
2019-722211,ОАО «Калинковичихлебопродукт»,Шрот подсолнечный гранулированный,0,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722211,,
2019-722210,"Унитарное предприятие ""Ханчицы-Неман""",Посевного комплекса  PÖTTINGER TERRASEM C8 FERTILIZER новый 2019 г.в. или аналог,0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722210,,
2019-722209,"УП ""УКС МИНГОРИСПОЛКОМА""",Выбор поставщика холодильного оборудования,13 500,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722209,,
2019-722208,Мостовское РУП ЖКХ,Выбор инженерной организации для осуществления технического надзора по двум объектам строительства станций обезжелезивания контейнерного типа,1 036,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722208,,
2019-722201,"Государственное предприятие ""Гнезно""",Техническое обслуживание доильного зала,4 189.90,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722201,,
2019-722200,"УП ""Медтехника"" г.Витебск","ВитМТ № 94/19-ЭА Лоты № 1 - 3
«Аппараты искусственной вентиляции легких, настенные реанимационные консоли»",0,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722200,,
2019-722199,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №383/19 Абдоминальная катушка Anterior Coil магнито-резонансного томографа «Philips Ingenia 1.5T»,0,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/722199,,
2019-722198,"Гродненское республиканское унитарное предприятие электроэнергетики ""Гродноэнерго""",Закупка индикатора обнаружения мест повреждений.,230 000,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/722198,,
2019-722195,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №255/19-П Камера ультрафиолетовая. Облучатель и рециркулятор бактерицидные,0,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722195,,
2019-722194,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",МТ 139/19-ПЭА «Устройства для крови и растворов однократного применения для УЗ ГО»,0,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722194,,
2019-722193,"ГО ""Белресурсы"" - управляющая компания холдинга ""Белресурсы""","Коллекции для кабинетов биологии 
(№ 113/19 МО-НИО)",0,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/722193,,
2019-722192,ИНСТИТУТ МИКРОБИОЛОГИИ НАН БЕЛАРУСИ,"Выполнение работ по объекту «Текущий ремонт помещений 106 и 119 лабораторного корпуса Института микробиологии НАН Беларуси по адресу: г.Минск, ул. Купревича, 2»",6 500,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722192,,
2019-722191,"ОАО ""БЕЛСЕЛЬЭЛЕКТРОСЕТЬСТРОЙ""",закупка полиамида,172 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722191,,
2019-722189,"Учреждение ""Гомельский областной клинический онкологический диспансер""",Услуги по ремонту системы компьютерной рентгенографии Kodak Direct CR 850 с заменой запасной части,9 594,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722189,,
2019-722188,"Отдел образования, спорта и туризма Жлобинского районного исполнительного комитета",ПЭВМ (рабочее место учащегося),14 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722188,,
2019-722186,"Производственное республиканское унитарное предприятие ""Витебскоблгаз""",Закупка автомобильной мойки.,79 000,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/722186,,
2019-722185,"ОАО ""Беларуськалий""",Закупка установки редукционной,390 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722185,,
2019-722184,Браславская ЦРБ,"Выбор инженерной организации на объектах строительства УЗ ""браславская ЦРБ""",6 120,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722184,,
2019-722183,Учреждение здравоохранения «Калинковичская центральная районная больница»,Дрова топливные (бревенчатые),3 500,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722183,,
2019-722182,Смолевичская райветстанция,закупка ветеринарных сертификатов (бланков),6 240,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722182,,
2019-722179,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи",БарМТ №155/19 -П- Перчатки медицинские,83 136,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/722179,,
2019-722178,"Производственное республиканское унитарное предприятие ""Витебскоблгаз""",Закупка комплектов устройств для замены запорной арматуры,60 000,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/722178,,
2019-722177,"ООО ""Горстройинжиниринг""","Выбор генеральной подрядной организации для выполнения СМР по объекту: «Реконструкция и капитальный ремонт с элементами модернизации отдела культуры и досуга «Вензовецкий дом культуры» в аг. Вензовец, ул. Центральная 2А».1-й пусковой комплекс",224 948.28,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/722177,,
2019-722176,"Учреждение ""Лоевская ветеринарная станция""",Вакцины применяемые в ветеринарии,10 062.36,2019-06-22,BLR,http://www.icetrade.by/tenders/all/view/722176,,
2019-722175,Брестский ОПТД,продукты питания,4 405.55,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722175,,
2019-722172,"Отдел образования, спорта и туризма Жлобинского районного исполнительного комитета",ПЭВМ для ДДУ,40 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/722172,,
2019-722171,Департамент охраны Министерства внутренних дел Республики Беларусь,"закупка терминала архивирования, хранения и зарядки персональных аудио-видеорегистраторов.",20 000,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722171,,
2019-722461,"БОПБ ""Могилевцы""",Закупка капусты кочанной и картофеля на третий квартал 2019 года,17 652,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722461,,
2019-722460,"Ф/х ""Полесье-ГМИ""",покупка саженцев голубики,60 000,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722460,,
2019-722459,"Учреждение ""Гродненское областное управление МЧС""",закупка брикетов топливных торфяных,9 139,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/722459,,
2019-722458,"Государственное лесохозяйственное учреждение ""Василевичский лесхоз""",Строительство гаражей на территории Лисковского лесничества,78 025,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/722458,,
