number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-724431,"РУП ""ИНСТИТУТ МЯСО-МОЛОЧНОЙ ПРОМЫШЛЕННОСТИ""",Закупка дрожжевого экстракта,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724431,,
2019-724106,"ООО ""Беларускалий-Агро"" - управляющая компания холдинга ""Беларускалий-Агро""",Плита боковая П1-1 с доставкой,85 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724106,,
2019-723810,Отдел культуры Барановичского горисполкома,"выбор подрядной организации для выполнения работ на объекте «Текущий ремонт коридора, гардероба, тамбура в здании ГУО «Детская хореографическая школа искусств г.Барановичи» по адресу: г.Барановичи ул.Баранова,17»",33 559.39,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/723810,,
2019-723913,Новополоцкая центральная городская больница,"Текущий ремонт инженерных сетей в лабораторном корпусе в учреждении здравоохранения «Новополоцкая центральная городская больница», по адресу: г.Новополоцк, ул.Гайдара,4 Б»",14 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723913,,
2019-724220,"Учреждение ""Гомельская областная специализированная клиническая больница""",Ремонт эндоскопического оборудования,5 400,2019-07-01,BLR,http://www.icetrade.by/tenders/all/view/724220,,
2019-724013,"Государственное предприятие ""ВПКиТС""",Закупка бетона товарного,20 445,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724013,,
2019-723608,"РУП ""Белоруснефть-Могилевоблнефтепродукт""",Системы видеонаблюдения  для строительных объектов.,332 256,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/723608,,
2019-724326,"ОАО ""Беларуськалий""",Запасные части для насоса Grundfos для ТЭС 4 РУ,0,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724326,,
2019-723708,Вилейская ЦРБ,Закупка изделий медицинского назначения для лаборатории,0,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/723708,,
2019-724430,"ГУ ""Бобруйское ЭУ ВС""","""Закупка лакокрасочной продукции для ГУ ""Бобруйское ЭУ ВС""",31 937,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724430,,
2019-724105,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Гомель",МТ 178/19-ЭА «Светильники смотровые медицинские для ГОКБ»,2 900,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724105,,
2019-723809,"Республиканское дочернее торговое унитарное предприятие ""Медтехника"" г. Барановичи","БарМТ №228/19-П Лабораторная посуда пластиковая. Лоты 2, 3, 5-14",0,2019-07-02,BLR,http://www.icetrade.by/tenders/all/view/723809,,
2019-723912,ЗАО Банк ВТБ (Беларусь),Закупка работы по реализации проекта «Внедрение нового программного обеспечения в сфере комплаенс».,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723912,,
